frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
20.20,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
20.40,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
20.61,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
20.81,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
21.02,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
21.23,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
21.44,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
21.66,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
21.87,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
22.09,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
22.31,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
22.54,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
22.76,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
22.99,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
23.22,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
23.45,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
23.69,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
23.92,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
24.16,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
24.40,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
24.65,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
24.89,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
25.14,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
25.39,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
25.65,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
25.91,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
26.16,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
26.43,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
26.69,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
26.96,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
27.23,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
27.50,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
27.77,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
28.05,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
28.33,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
28.62,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
28.90,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
29.19,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
29.48,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
29.78,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
30.08,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
30.38,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
30.68,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
30.99,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
31.30,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
31.61,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
31.93,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
32.24,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
32.57,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
32.89,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
33.22,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
33.55,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
33.89,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
34.23,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
34.57,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
34.92,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
35.27,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
35.62,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
35.97,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
36.33,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
36.70,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
37.06,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
37.43,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
37.81,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
38.19,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
38.57,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
38.95,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
39.34,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
39.74,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
40.14,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
40.54,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
40.94,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
41.35,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
41.76,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
42.18,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
42.60,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
43.03,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
43.46,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
43.90,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
44.33,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
44.78,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
45.23,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
45.68,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
46.13,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
46.60,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
47.06,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
47.53,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
48.01,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
48.49,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
48.97,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
49.46,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
49.96,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
50.46,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
50.96,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
51.47,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
51.99,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
52.51,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
53.03,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
53.56,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
54.10,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
54.64,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
55.18,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
55.74,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
56.29,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
56.86,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
57.42,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
58.00,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
58.58,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
59.16,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
59.76,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
60.35,-23.04,-13.30,-23.04,-13.30,13.30,-9.74,-9.74,-9.74
