frequency,raw
20.00,-23.04
20.20,-23.04
20.40,-23.04
20.61,-23.04
20.81,-23.04
21.02,-23.04
21.23,-23.04
21.44,-23.04
21.66,-23.04
21.87,-23.04
22.09,-23.04
22.31,-23.04
22.54,-23.04
22.76,-23.04
22.99,-23.04
23.22,-23.04
23.45,-23.04
23.69,-23.04
23.92,-23.04
24.16,-23.04
24.40,-23.04
24.65,-23.04
24.89,-23.04
25.14,-23.04
25.39,-23.04
25.65,-23.04
25.91,-23.04
26.16,-23.04
26.43,-23.04
26.69,-23.04
26.96,-23.04
27.23,-23.04
27.50,-23.04
27.77,-23.04
28.05,-23.04
28.33,-23.04
28.62,-23.04
28.90,-23.04
29.19,-23.04
29.48,-23.04
29.78,-23.04
30.08,-23.04
30.38,-23.04
30.68,-23.04
30.99,-23.04
31.30,-23.04
31.61,-23.04
31.93,-23.04
32.24,-23.04
32.57,-23.04
32.89,-23.04
33.22,-23.04
33.55,-23.04
33.89,-23.04
34.23,-23.04
34.57,-23.04
34.92,-23.04
35.27,-23.04
35.62,-23.04
35.97,-23.04
36.33,-23.04
36.70,-23.04
37.06,-23.04
37.43,-23.04
37.81,-23.04
38.19,-23.04
38.57,-23.04
38.95,-23.04
39.34,-23.04
39.74,-23.04
40.14,-23.04
40.54,-23.04
40.94,-23.04
41.35,-23.04
41.76,-23.04
42.18,-23.04
42.60,-23.04
43.03,-23.04
43.46,-23.04
43.90,-23.04
44.33,-23.04
44.78,-23.04
45.23,-23.04
45.68,-23.04
46.13,-23.04
46.60,-23.04
47.06,-23.04
47.53,-23.04
48.01,-23.04
48.49,-23.04
48.97,-23.04
49.46,-23.04
49.96,-23.04
50.46,-23.04
50.96,-23.04
51.47,-23.04
51.99,-23.04
52.51,-23.04
53.03,-23.04
53.56,-23.04
54.10,-23.04
54.64,-23.04
55.18,-23.04
55.74,-23.04
56.29,-23.04
56.86,-23.04
57.42,-23.04
58.00,-23.04
58.58,-23.04
59.16,-23.04
59.76,-23.04
60.35,-23.04
60.96,-23.04
61.57,-23.04
62.18,-23.04
62.80,-23.04
63.43,-23.04
64.07,-23.04
64.71,-23.04
65.35,-23.04
66.01,-23.04
66.67,-23.04
67.33,-23.04
68.01,-23.04
68.69,-23.04
69.37,-23.04
70.07,-23.04
70.77,-23.04
71.48,-23.04
72.19,-23.04
72.91,-23.04
73.64,-23.04
74.38,-23.04
75.12,-23.04
75.87,-23.04
76.63,-23.04
77.40,-23.04
78.17,-23.04
78.95,-23.04
79.74,-23.04
80.54,-23.04
81.35,-23.04
82.16,-23.04
82.98,-23.04
83.81,-23.04
84.65,-23.04
85.50,-23.04
86.35,-23.04
87.22,-23.04
88.09,-23.04
88.97,-23.04
89.86,-23.04
90.76,-23.04
91.66,-23.04
92.58,-23.04
93.51,-23.04
94.44,-23.04
95.39,-23.04
96.34,-23.04
97.30,-23.04
98.28,-23.04
99.26,-23.04
100.25,-23.04
101.25,-23.04
102.27,-23.04
103.29,-23.04
104.32,-23.04
105.37,-23.04
106.42,-23.04
107.48,-23.04
108.56,-23.04
109.64,-23.04
110.74,-23.04
111.85,-23.04
112.97,-23.04
114.10,-23.04
115.24,-23.04
116.39,-23.04
117.55,-23.04
118.73,-23.04
119.92,-23.04
121.12,-23.04
122.33,-23.04
123.55,-23.04
124.79,-23.04
126.03,-23.04
127.29,-23.04
128.57,-23.04
129.85,-23.04
131.15,-23.04
132.46,-23.04
133.79,-23.04
135.12,-23.04
136.48,-23.04
137.84,-23.04
139.22,-23.04
140.61,-23.04
142.02,-23.04
143.44,-23.04
144.87,-23.04
146.32,-23.04
147.78,-23.04
149.26,-23.04
150.75,-23.04
152.26,-23.04
153.78,-23.04
155.32,-23.04
156.88,-23.04
158.44,-23.04
160.03,-23.04
161.63,-23.04
163.24,-23.04
164.88,-23.04
166.53,-23.04
168.19,-23.04
169.87,-23.04
171.57,-23.04
173.29,-23.04
175.02,-23.04
176.77,-23.04
178.54,-23.04
180.32,-23.04
182.13,-23.04
183.95,-23.04
185.79,-23.04
187.65,-23.04
189.52,-23.04
191.42,-23.04
193.33,-23.04
195.27,-23.04
197.22,-23.04
199.19,-23.04
201.18,-23.04
203.19,-23.04
205.23,-23.04
207.28,-23.04
209.35,-23.04
211.44,-23.04
213.56,-23.04
215.69,-23.04
217.85,-23.04
220.03,-23.04
222.23,-23.04
224.45,-23.04
226.70,-23.04
228.96,-23.04
231.25,-23.04
233.57,-23.04
235.90,-23.04
238.26,-23.04
240.64,-23.04
243.05,-23.04
245.48,-23.04
247.93,-23.04
250.41,-23.04
252.92,-23.04
255.45,-23.04
258.00,-23.04
260.58,-23.04
263.19,-23.04
265.82,-23.04
268.48,-23.04
271.16,-23.04
273.87,-23.04
276.61,-23.04
279.38,-23.04
282.17,-23.04
284.99,-23.04
287.84,-23.04
290.72,-23.04
293.63,-23.04
296.57,-23.04
299.53,-23.04
302.53,-23.04
305.55,-23.04
308.61,-23.01
311.69,-22.81
314.81,-22.60
317.96,-22.37
321.14,-22.12
324.35,-21.86
327.59,-21.62
330.87,-21.41
334.18,-21.25
337.52,-21.13
340.90,-21.05
344.30,-20.97
347.75,-20.90
351.23,-20.84
354.74,-20.80
358.28,-20.76
361.87,-20.72
365.49,-20.65
369.14,-20.55
372.83,-20.41
376.56,-20.23
380.33,-20.01
384.13,-19.75
387.97,-19.45
391.85,-19.14
395.77,-18.87
399.73,-18.62
403.72,-18.37
407.76,-18.09
411.84,-17.77
415.96,-17.44
420.12,-17.15
424.32,-16.90
428.56,-16.70
432.85,-16.54
437.18,-16.42
441.55,-16.32
445.96,-16.18
450.42,-15.94
454.93,-15.64
459.48,-15.33
464.07,-15.06
468.71,-14.82
473.40,-14.63
478.13,-14.48
482.91,-14.39
487.74,-14.26
492.62,-14.06
497.55,-13.84
502.52,-13.68
507.55,-13.56
512.62,-13.40
517.75,-13.19
522.93,-12.97
528.16,-12.76
533.44,-12.56
538.77,-12.36
544.16,-12.23
549.60,-12.09
555.10,-11.88
560.65,-11.66
566.25,-11.56
571.92,-11.49
577.64,-11.34
