frequency,raw
20.00,-17.49
20.20,-17.49
20.40,-17.49
20.61,-17.49
20.81,-17.49
21.02,-17.49
21.23,-17.49
21.44,-17.49
21.66,-17.49
21.87,-17.49
22.09,-17.49
22.31,-17.49
22.54,-17.49
22.76,-17.49
22.99,-17.49
23.22,-17.49
23.45,-17.49
23.69,-17.49
23.92,-17.49
24.16,-17.49
24.40,-17.49
24.65,-17.49
24.89,-17.49
25.14,-17.49
25.39,-17.49
25.65,-17.49
25.91,-17.49
26.16,-17.49
26.43,-17.49
26.69,-17.49
26.96,-17.49
27.23,-17.49
27.50,-17.49
27.77,-17.49
28.05,-17.49
28.33,-17.49
28.62,-17.49
28.90,-17.49
29.19,-17.49
29.48,-17.49
29.78,-17.49
30.08,-17.49
30.38,-17.49
30.68,-17.49
30.99,-17.49
31.30,-17.49
31.61,-17.49
31.93,-17.49
32.24,-17.49
32.57,-17.49
32.89,-17.49
33.22,-17.49
33.55,-17.49
33.89,-17.49
34.23,-17.49
34.57,-17.49
34.92,-17.49
35.27,-17.49
35.62,-17.49
35.97,-17.49
36.33,-17.49
36.70,-17.49
37.06,-17.49
37.43,-17.49
37.81,-17.49
38.19,-17.49
38.57,-17.49
38.95,-17.49
39.34,-17.49
39.74,-17.49
40.14,-17.49
40.54,-17.49
40.94,-17.49
41.35,-17.49
41.76,-17.49
42.18,-17.49
42.60,-17.49
43.03,-17.49
43.46,-17.49
43.90,-17.49
44.33,-17.49
44.78,-17.49
45.23,-17.49
45.68,-17.49
46.13,-17.49
46.60,-17.49
47.06,-17.49
47.53,-17.49
48.01,-17.49
48.49,-17.49
48.97,-17.49
49.46,-17.49
49.96,-17.49
50.46,-17.49
50.96,-17.49
51.47,-17.49
51.99,-17.49
52.51,-17.49
53.03,-17.49
53.56,-17.49
54.10,-17.49
54.64,-17.49
55.18,-17.49
55.74,-17.49
56.29,-17.49
56.86,-17.49
57.42,-17.49
58.00,-17.49
58.58,-17.49
59.16,-17.49
59.76,-17.49
60.35,-17.49
60.96,-17.49
61.57,-17.49
62.18,-17.49
62.80,-17.49
63.43,-17.49
64.07,-17.49
64.71,-17.49
65.35,-17.49
66.01,-17.49
66.67,-17.49
67.33,-17.49
68.01,-17.49
68.69,-17.49
69.37,-17.49
70.07,-17.49
70.77,-17.49
71.48,-17.49
72.19,-17.49
72.91,-17.49
73.64,-17.49
74.38,-17.49
75.12,-17.49
75.87,-17.49
76.63,-17.49
77.40,-17.49
78.17,-17.49
78.95,-17.49
79.74,-17.49
80.54,-17.49
81.35,-17.49
82.16,-17.49
82.98,-17.49
83.81,-17.49
84.65,-17.49
85.50,-17.49
86.35,-17.49
87.22,-17.49
88.09,-17.49
88.97,-17.49
89.86,-17.49
90.76,-17.49
91.66,-17.49
92.58,-17.49
93.51,-17.49
94.44,-17.49
95.39,-17.49
96.34,-17.49
97.30,-17.49
98.28,-17.49
99.26,-17.49
100.25,-17.49
101.25,-17.49
102.27,-17.49
103.29,-17.49
104.32,-17.49
105.37,-17.49
106.42,-17.49
107.48,-17.49
108.56,-17.49
109.64,-17.49
110.74,-17.49
111.85,-17.49
112.97,-17.49
114.10,-17.49
115.24,-17.49
116.39,-17.49
117.55,-17.49
118.73,-17.49
119.92,-17.49
121.12,-17.49
122.33,-17.49
123.55,-17.49
124.79,-17.49
126.03,-17.49
127.29,-17.49
128.57,-17.49
129.85,-17.49
131.15,-17.49
132.46,-17.49
133.79,-17.49
135.12,-17.49
136.48,-17.49
137.84,-17.49
139.22,-17.49
140.61,-17.49
142.02,-17.49
143.44,-17.49
144.87,-17.49
146.32,-17.49
147.78,-17.49
149.26,-17.49
150.75,-17.49
152.26,-17.49
153.78,-17.49
155.32,-17.49
156.88,-17.49
158.44,-17.49
160.03,-17.49
161.63,-17.49
163.24,-17.49
164.88,-17.49
166.53,-17.49
168.19,-17.49
169.87,-17.49
171.57,-17.49
173.29,-17.49
175.02,-17.49
176.77,-17.49
178.54,-17.49
180.32,-17.49
182.13,-17.49
183.95,-17.49
185.79,-17.49
187.65,-17.49
189.52,-17.49
191.42,-17.49
193.33,-17.49
195.27,-17.49
197.22,-17.49
199.19,-17.49
201.18,-17.49
203.19,-17.49
205.23,-17.49
207.28,-17.49
209.35,-17.49
211.44,-17.49
213.56,-17.49
215.69,-17.49
217.85,-17.49
220.03,-17.49
222.23,-17.49
224.45,-17.49
226.70,-17.49
228.96,-17.49
231.25,-17.49
233.57,-17.49
235.90,-17.49
238.26,-17.49
240.64,-17.49
243.05,-17.49
245.48,-17.49
247.93,-17.49
250.41,-17.49
252.92,-17.49
255.45,-17.49
258.00,-17.49
260.58,-17.49
263.19,-17.49
265.82,-17.49
268.48,-17.49
271.16,-17.49
273.87,-17.49
276.61,-17.49
279.38,-17.49
282.17,-17.32
284.99,-17.06
287.84,-16.80
290.72,-16.54
293.63,-16.30
296.57,-16.08
299.53,-15.87
302.53,-15.68
305.55,-15.48
308.61,-15.28
311.69,-15.06
314.81,-14.84
317.96,-14.59
321.14,-14.35
324.35,-14.10
327.59,-13.88
330.87,-13.67
334.18,-13.49
337.52,-13.31
340.90,-13.13
344.30,-12.93
347.75,-12.71
351.23,-12.47
354.74,-12.23
358.28,-12.01
361.87,-11.84
365.49,-11.71
369.14,-11.60
372.83,-11.50
376.56,-11.37
380.33,-11.20
384.13,-11.00
387.97,-10.78
391.85,-10.60
395.77,-10.46
399.73,-10.37
403.72,-10.29
407.76,-10.18
411.84,-10.01
415.96,-9.77
420.12,-9.50
424.32,-9.24
428.56,-9.05
432.85,-8.92
437.18,-8.82
441.55,-8.70
445.96,-8.52
450.42,-8.30
454.93,-8.08
459.48,-7.89
464.07,-7.74
468.71,-7.61
473.40,-7.45
478.13,-7.25
482.91,-7.02
487.74,-6.79
492.62,-6.58
497.55,-6.38
502.52,-6.15
507.55,-5.85
512.62,-5.51
517.75,-5.17
522.93,-4.89
528.16,-4.68
533.44,-4.51
538.77,-4.36
544.16,-4.25
549.60,-4.19
555.10,-4.18
560.65,-4.15
566.25,-4.06
571.92,-3.94
577.64,-3.87
583.41,-3.94
589.25,-4.10
595.14,-4.23
601.09,-4.30
607.10,-4.33
613.17,-4.43
619.30,-4.63
625.50,-4.91
631.75,-5.21
638.07,-5.51
644.45,-5.78
650.89,-5.99
657.40,-6.13
663.98,-6.23
670.62,-6.30
677.32,-6.37
684.10,-6.44
690.94,-6.54
697.85,-6.67
704.83,-6.73
711.87,-6.62
718.99,-6.34
726.18,-5.99
733.44,-5.68
740.78,-5.38
748.19,-5.01
755.67,-4.59
763.23,-4.22
770.86,-3.91
778.57,-3.59
786.35,-3.22
794.22,-2.85
802.16,-2.56
810.18,-2.37
818.28,-2.19
826.46,-1.98
834.73,-1.84
843.08,-1.86
851.51,-1.87
860.02,-1.70
868.62,-1.46
877.31,-1.35
886.08,-1.25
894.94,-1.02
903.89,-0.74
912.93,-0.60
922.06,-0.54
931.28,-0.45
940.59,-0.35
950.00,-0.31
959.50,-0.25
969.09,-0.11
978.78,-0.00
988.57,-0.04
998.46,-0.03
1008.44,0.17
1018.53,0.30
1028.71,0.23
1039.00,0.31
1049.39,0.43
1059.88,0.33
1070.48,0.36
1081.19,0.34
1092.00,0.23
1102.92,0.47
1113.95,0.68
1125.09,0.75
1136.34,1.03
1147.70,1.06
1159.18,1.28
1170.77,1.63
1182.48,1.48
1194.30,1.74
1206.25,2.12
1218.31,2.29
1230.49,2.79
1242.80,2.92
1255.22,3.04
1267.78,3.47
1280.45,3.45
1293.26,3.53
1306.19,3.70
1319.25,3.82
1332.45,4.04
1345.77,4.06
1359.23,4.02
1372.82,4.15
1386.55,4.08
1400.41,4.00
1414.42,3.95
1428.56,3.86
1442.85,3.77
1457.28,3.59
1471.85,3.59
1486.57,3.62
1501.43,3.57
1516.45,3.62
1531.61,3.64
1546.93,3.64
1562.40,3.56
1578.02,3.68
1593.80,3.66
1609.74,3.68
1625.84,3.70
1642.10,3.73
1658.52,3.59
1675.10,3.65
1691.85,3.59
1708.77,3.47
1725.86,3.41
1743.12,3.30
1760.55,3.16
1778.15,3.11
1795.94,3.16
1813.90,3.03
1832.03,2.77
1850.36,2.73
1868.86,2.36
1887.55,2.22
1906.42,1.97
1925.49,1.85
1944.74,1.73
1964.19,1.57
1983.83,1.44
2003.67,1.23
2023.71,1.20
2043.94,0.96
2064.38,0.99
2085.03,1.03
2105.88,0.90
2126.94,0.95
2148.20,0.85
2169.69,0.92
2191.38,1.02
2213.30,0.92
2235.43,0.92
2257.78,0.85
2280.36,0.71
2303.17,0.55
2326.20,0.41
2349.46,0.22
2372.95,0.10
2396.68,-0.06
2420.65,-0.01
2444.86,0.16
2469.31,0.32
2494.00,0.49
2518.94,0.72
2544.13,0.95
2569.57,1.03
2595.27,1.16
2621.22,1.26
2647.43,1.37
2673.90,1.38
2700.64,1.39
2727.65,1.29
2754.93,1.19
2782.48,1.32
2810.30,1.43
2838.40,1.64
2866.79,1.98
2895.46,2.22
2924.41,2.43
2953.65,2.70
2983.19,2.91
3013.02,3.05
3043.15,3.31
3073.58,3.29
3104.32,3.43
3135.36,3.38
3166.72,3.33
3198.38,3.37
3230.37,3.44
3262.67,3.38
3295.30,3.46
3328.25,3.55
3361.53,3.71
3395.15,3.77
3429.10,3.75
3463.39,3.80
3498.03,3.71
3533.01,3.78
3568.34,3.77
3604.02,3.75
3640.06,3.83
3676.46,3.86
3713.22,3.97
3750.36,4.01
3787.86,4.19
3825.74,4.26
3864.00,4.56
3902.64,4.65
3941.66,4.93
3981.08,5.04
4020.89,5.35
4061.10,5.59
4101.71,6.01
4142.73,6.29
